equipo_ganador,equipo_primera_sangre,asesinatos_dif,asistencias_dif,nivel_dif,minions_dif,torretas_dif,dragones_dif,heraldos_dif
1,1,-3,0,-0.40000000000000036,-13,0,-1,0
0,1,0,-1,0.40000000000000036,-47,0,-1,0
0,0,5,6,0.40000000000000036,72,1,-1,1
0,1,2,3,0.40000000000000036,-1,0,-1,1
1,1,-1,1,-0.20000000000000018,-7,0,-1,0
1,1,-5,-5,-0.7999999999999998,-16,0,0,0
0,0,4,11,0.0,7,0,0,0
0,0,5,7,0.20000000000000018,-9,0,1,0
0,1,4,6,0.40000000000000036,9,0,0,0
1,1,-2,-6,-0.20000000000000018,31,0,0,0
1,0,1,3,0.39999999999999947,47,0,0,1
0,1,-2,-3,-0.40000000000000036,-16,0,-1,-1
1,1,2,1,0.20000000000000018,7,0,-1,0
1,1,2,7,-0.20000000000000018,-39,0,1,0
1,0,-1,2,0.40000000000000036,11,0,1,1
1,1,-9,-15,-0.5999999999999996,-43,0,-1,0
0,1,0,-2,0.20000000000000018,-25,0,0,0
1,1,-5,-15,-0.7999999999999998,7,0,-1,0
0,1,5,6,0.0,4,0,1,0
1,0,7,7,0.1999999999999993,14,0,0,0
1,1,-3,0,-0.6000000000000005,-75,0,1,0
1,1,-7,-6,-1.2000000000000002,-28,0,1,0
1,1,-2,-7,-0.20000000000000018,-15,1,-1,1
0,1,-8,-14,-0.7999999999999998,23,-1,-1,1
1,0,-4,-4,-0.6000000000000005,4,0,0,0
0,1,4,2,0.0,15,0,0,0
1,0,3,2,-0.20000000000000018,17,0,-1,0
0,0,3,3,0.40000000000000036,-13,0,-1,0
1,0,-1,1,0.0,-17,0,0,0
0,0,6,7,0.20000000000000018,12,0,1,0
1,1,-5,-8,-0.20000000000000018,12,0,0,-1
0,0,8,12,0.40000000000000036,31,0,1,0
1,0,-1,-3,-0.40000000000000036,-53,0,0,-1
1,1,-2,-2,0.40000000000000036,-29,0,-1,0
1,1,0,2,-0.40000000000000036,-53,0,1,0
1,0,1,-2,0.0,18,0,-1,1
0,1,2,5,0.40000000000000036,8,0,1,0
0,0,3,5,0.20000000000000018,9,0,-1,0
1,0,4,3,0.20000000000000018,27,0,-1,0
1,1,-2,1,-0.39999999999999947,-49,0,-1,0
0,0,4,3,0.39999999999999947,9,0,-1,1
1,0,1,0,0.20000000000000018,33,0,0,0
1,1,-2,-5,-0.6000000000000005,-36,0,-1,1
1,0,2,3,-0.20000000000000018,-16,0,1,0
1,0,-2,-4,-0.39999999999999947,-8,0,-1,-1
0,0,1,4,-0.40000000000000036,-57,0,0,0
1,0,-3,-7,-0.7999999999999998,-45,0,1,0
0,0,2,3,0.20000000000000018,4,0,0,-1
0,0,3,4,0.20000000000000018,5,0,1,0
1,0,0,3,0.20000000000000018,22,0,-1,0
1,1,-4,-6,-0.20000000000000018,3,0,-1,0
1,1,-2,-4,0.0,-1,0,1,0
1,0,4,10,0.40000000000000036,40,0,-1,0
0,0,-1,-3,-0.6000000000000005,25,0,1,0
0,0,5,3,0.40000000000000036,-19,0,1,1
0,0,7,-2,0.8000000000000007,54,0,-1,0
0,0,1,2,0.1999999999999993,29,1,0,0
0,1,0,-2,0.0,-2,0,1,0
0,0,2,5,-0.40000000000000036,-5,0,-1,1
0,0,3,1,0.0,-2,0,1,1
1,0,7,8,0.39999999999999947,-27,0,1,1
0,0,0,5,0.40000000000000036,10,0,-1,0
1,1,-3,-2,-0.6000000000000005,-32,0,0,0
